Book_Name,Author,5_star,Ratings,Reviews
Sometimes a Great Notion,Ken Kesey,4.25,"21,560","1,437","11,055","6,400","2,937",816,352
'Salem's Lot,Stephen King,4.05,"412,043","15,287","153,996","150,784","85,601","17,223","4,439"
Misery,Stephen King,4.20,"627,550","20,907","284,095","221,400","95,883","18,821","7,351"
The Scarlet Pimpernel,Emmuska Orczy,4.07,"131,427","7,240","51,723","46,666","25,179","5,694","2,165"
Angle of Repose,Wallace Stegner,4.24,"57,396","4,992","28,871","17,934","7,353","2,251",987
All the Pretty Horses,Cormac McCarthy,4.02,"109,936","7,477","38,510","43,943","20,302","5,209","1,972"
The Vampire Lestat,Anne Rice,4.09,"191,784","4,595","76,057","68,637","36,822","8,092","2,176"
Anthem,Ayn Rand,3.62,"147,701","10,613","38,562","47,095","38,260","15,089","8,695"
The Tale of Peter Rabbit,Beatrix Potter,4.21,"236,515","2,532","118,562","65,315","39,751","8,801","4,086"
The Polar Express,Chris Van Allsburg,4.31,"233,072","3,974","133,625","56,010","30,821","8,393","4,223"
Hiroshima,John Hersey,4.01,"74,120","4,153","26,249","28,511","14,774","3,252","1,334"
Jurassic Park,Michael Crichton,4.08,"906,553","17,043","367,412","317,800","165,384","38,487","17,470"
Down and Out in Paris and London,George Orwell,4.09,"79,820","5,497","28,563","34,077","13,739","2,591",850
The New York Trilogy,Paul Auster,3.88,"70,065","4,036","21,061","27,530","15,181","4,715","1,578"
The Illustrated Man,Ray Bradbury,4.13,"92,009","5,164","36,263","35,910","16,090","2,932",814
Stardust,Neil Gaiman,4.10,"421,676","23,106","161,953","163,852","76,018","14,905","4,948"
All the President's Men,Carl Bernstein,4.17,"52,678","1,963","22,390","20,120","7,752","1,557",859
Death in Venice and Other Tales,Thomas Mann,3.91,"16,521",464,"5,431","5,913","3,777","1,012",388
Speaker for the Dead,Orson Scott Card,4.09,"243,882","8,559","94,487","91,937","44,786","9,974","2,698"
The Talented Mr. Ripley,Patricia Highsmith,3.94,"79,746","4,998","23,841","33,779","16,813","3,843","1,470"
Finnegans Wake,James Joyce,3.68,"12,430","1,145","4,196","3,347","2,699","1,076","1,112"
The Accidental Tourist,Anne Tyler,3.90,"102,573","2,749","30,641","40,267","24,522","5,520","1,623"
Survival in Auschwitz,Primo Levi,4.32,"67,623","3,081","35,513","21,731","7,615","1,727","1,037"
The Foundation Trilogy,Isaac Asimov,4.41,"99,028","2,026","56,761","29,559","10,292","1,817",599
Pet Sematary,Stephen King,4.04,"534,187","20,548","202,704","190,445","109,502","24,553","6,983"
Winter's Tale,Mark Helprin,3.50,"27,813","4,338","8,267","6,914","5,987","3,847","2,798"
Contact,Carl Sagan,4.14,"136,299","4,029","56,536","50,229","23,401","4,622","1,511"
"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,4.29,"47,513","2,111","26,168","12,873","5,533","1,843","1,096"
Ella Enchanted,Gail Carson Levine,4.00,"404,790","11,567","156,427","129,489","89,030","22,030","7,814"
The Day of the Triffids,John Wyndham,4.01,"101,575","4,464","34,499","40,516","21,233","4,119","1,208"
The Secret History,Donna Tartt,4.17,"549,663","53,987","252,919","182,175","81,083","24,494","8,992"
Underworld,Don DeLillo,3.93,"29,873","2,263","11,160","9,838","5,651","2,193","1,031"
Our Town,Thornton Wilder,3.69,"49,851","2,082","13,796","15,615","13,489","5,083","1,868"
Trout Fishing in America,Richard Brautigan,3.76,"14,197","1,157","4,001","4,929","3,594","1,221",452
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,4.28,"69,377","3,554","36,864","20,478","8,199","2,326","1,510"
We,Yevgeny Zamyatin,3.90,"88,503","6,497","27,332","33,535","20,585","5,424","1,627"
The Selfish Gene,Richard Dawkins,4.15,"168,406","4,526","77,600","54,735","24,639","6,716","4,716"
V.,Thomas Pynchon,3.96,"22,448","1,262","7,939","8,316","4,208","1,302",683
Fifth Business,Robertson Davies,4.06,"18,535","1,288","7,174","6,878","3,187",941,355
Guards! Guards!,Terry Pratchett,4.33,"190,509","5,950","97,344","66,169","21,690","3,366","1,940"
Four Quartets,T.S. Eliot,4.38,"16,617",976,"9,581","4,538","1,888",448,162
Letters to a Young Poet,Rainer Maria Rilke,4.30,"75,723","7,236","39,123","23,915","9,804","2,119",762
The Exorcist,William Peter Blatty,4.19,"215,942","7,424","100,980","70,288","33,834","7,353","3,487"
North and South,John Jakes,4.20,"59,947",959,"27,282","20,500","9,670","1,833",662
Persepolis: The Story of a Childhood,Marjane Satrapi,4.26,"193,252","10,964","90,835","70,811","24,491","4,979","2,136"
The Code of the Woosters,P.G. Wodehouse,4.32,"26,494","2,003","13,175","9,494","3,082",520,223
The Poetry of Robert Frost,Robert Frost,4.24,"46,869",579,"22,797","15,120","6,873","1,390",689
Galápagos,Kurt Vonnegut Jr.,3.87,"76,693","3,442","21,290","30,714","19,283","4,347","1,059"
Herzog,Saul Bellow,3.76,"20,629","1,336","5,694","7,426","5,131","1,704",674
The Threepenny Opera,Bertolt Brecht,3.90,"12,926",273,"4,297","4,548","2,875",886,320
A Death in the Family,James Agee,3.90,"15,660","1,374","5,166","5,463","3,655","1,020",356
A Scanner Darkly,Philip K. Dick,4.02,"97,084","3,804","34,689","37,592","18,677","4,479","1,647"
The Prime of Miss Jean Brodie,Muriel Spark,3.72,"50,263","3,623","11,862","18,725","14,464","4,145","1,067"
Tortilla Flat,John Steinbeck,3.83,"51,601","3,027","13,514","20,272","14,090","3,051",674
Tales of Ordinary Madness,Charles Bukowski,3.88,"26,330","1,069","7,873","10,224","6,022","1,613",598
Thoughts from Walden Pond,Henry David Thoreau,3.76,"2,112",57,587,751,537,154,83
The Forever War,Joe Haldeman,4.14,"157,362","6,861","64,853","59,354","25,874","5,415","1,866"
Harriet the Spy,Louise Fitzhugh,3.95,"98,308","2,808","37,757","30,193","21,264","5,894","3,200"
Babbitt,Sinclair Lewis,3.68,"22,823","1,490","5,226","8,465","6,463","1,933",736
The Electric Kool-Aid Acid Test,Tom Wolfe,3.92,"73,441","2,242","23,640","27,416","16,700","4,290","1,395"
Fall on Your Knees,Ann-Marie MacDonald,3.97,"64,548","3,351","23,958","21,929","12,944","3,906","1,811"
Love Medicine,Louise Erdrich,4.01,"25,040","1,923","8,549","10,011","4,955","1,164",361
The Client,John Grisham,4.04,"431,563","2,990","151,994","167,719","93,573","14,719","3,558"
Deliverance,James Dickey,3.89,"31,623","1,533","9,232","12,668","7,335","1,713",675
Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen,3.97,"66,396","3,563","23,614","24,244","13,072","3,557","1,909"
The Inimitable Jeeves,P.G. Wodehouse,4.20,"25,143","1,844","10,451","10,187","3,795",547,163
