Book_Name,Author,5_star,Ratings,Reviews
The Ball and the Cross,G.K. Chesterton,4.05,"2,431",228,863,952,508,89,19
The October Country,Ray Bradbury,4.13,"17,128","1,484","6,682","6,720","3,112",520,94
Collected Plays 1944-1961,Arthur  Miller,4.22,423,11,196,147,63,12,5
"The Sources of Social Power: Volume 1, a History of Power from the Beginning to Ad 1760",Michael Mann,4.32,119,5,61,39,17,0,2
Beautiful Dreamer,Elizabeth Lowell,3.79,"1,584",93,426,550,479,102,27
Ship of Magic,Robin Hobb,4.19,"75,241","4,040","32,766","28,142","10,977","2,425",931
An Ice-Cream War,William  Boyd,3.89,"3,813",218,929,"1,770",921,155,38
Lie Down in Darkness,William Styron,3.81,"3,302",349,986,"1,193",771,229,123
Touching The Void,Joe Simpson,4.22,"56,635","2,151","25,435","21,058","8,066","1,405",671
Bomarzo,Manuel Mujica Lainez,4.28,747,93,387,227,95,29,9
If You Give a Mouse a Cookie,Laura Joffe Numeroff,4.28,"285,125","4,652","159,122","67,571","41,953","10,976","5,503"
Naked Masks: Five Plays,Luigi Pirandello,4.09,365,18,132,157,58,13,5
Blood and Chocolate,Annette Curtis Klause,3.79,"41,412","2,399","13,390","12,563","10,236","3,786","1,437"
Jailbird,Kurt Vonnegut Jr.,3.83,"23,239","1,026","5,187","10,113","6,755","1,064",120
Last and First Men/Star Maker,Olaf Stapledon,4.01,569,44,222,189,111,35,12
"Goodbye, Columbus and Five Short Stories",Philip Roth,3.86,"19,070","1,255","4,806","8,171","4,950",933,210
Pastwatch: The Redemption of Christopher Columbus,Orson Scott Card,3.97,"14,584","1,067","5,074","5,342","3,098",802,268
"A Biography Of The Prophet Of Islam , In The Light Of The Original Sources An Analytical Study",Mahdi Rizqullah Ahmad,4.35,26,5,16,6,2,1,1
"If I Die in a Combat Zone, Box Me Up and Ship Me Home",Tim O'Brien,3.95,"10,297",534,"3,059","4,426","2,194",435,183
The Secret Pearl,Mary Balogh,3.89,"6,765",463,"2,241","2,309","1,622",437,156
Dancer from the Dance,Andrew Holleran,3.99,"7,478",591,"2,715","2,608","1,605",431,119
Memoirs Of A Chinese Revolutionary,Wang Fan-hsi,4.50,8,1,4,4,0,0,0
"The Redneck Manifesto: How Hillbillies, Hicks, and White Trash Became America's Scapegoats",Jim Goad,3.81,"1,256",132,400,426,266,115,49
Intellectuals: From Marx and Tolstoy to Sartre and Chomsky,Paul  Johnson,3.85,"2,196",289,690,797,486,141,82
The Stone Raft,José Saramago,3.82,"8,052",588,"2,084","3,237","2,054",531,146
"Autumn Lover (Maxwells, #1)",Elizabeth Lowell,3.77,"1,951",97,509,701,554,152,35
The Glass Palace,Amitav Ghosh,3.99,"25,251","1,912","8,084","10,485","5,295","1,095",292
The Red Badge of Courage & The Veteran,Stephen Crane,3.38,600,53,106,175,194,89,36
Company K,William March,4.24,926,111,407,362,131,23,3
The Crow Road,Iain Banks,4.08,"21,497",924,"7,940","8,667","3,790",801,299
Martian Time-Slip,Philip K. Dick,3.77,"12,155",730,"2,632","5,024","3,690",703,106
The Mutiny on the Bounty Trilogy,Charles Bernard Nordhoff,4.38,"1,310",95,713,428,132,24,13
Sorceress of Darshiva,David Eddings,4.10,"45,432",346,"17,979","16,488","8,852","1,673",440
The Best Laid Plans,Sidney Sheldon,3.71,"23,982",844,"5,534","8,674","7,433","1,924",417
The Bull from the Sea,Mary Renault,4.09,"3,695",218,"1,368","1,472",719,109,27
Dark Reunion,L.J. Smith,3.50,"26,909",982,"6,425","6,952","8,551","3,612","1,369"
The Game-Players of Titan,Philip K. Dick,3.65,"4,487",283,735,"1,810","1,600",309,33
All About Love: New Visions,bell hooks,4.09,"52,665","6,334","21,926","17,792","9,543","2,790",614
A Room of One's Own & The Voyage Out,Virginia Woolf,3.92,273,28,83,108,65,12,5
Another Day of Life,Ryszard Kapuściński,4.18,"4,469",330,"1,727","1,942",701,84,15
Night Flight,Antoine de Saint-Exupéry,3.80,"9,470",695,"2,525","3,474","2,654",661,156
Darwinism Refuted: How the Theory of Evolution Breaks Down in the Light of Modern Science,Harun Yahya,3.24,37,3,15,4,5,1,12
In an Antique Land,Amitav Ghosh,3.84,"3,128",294,891,"1,172",805,194,66
The Map of Love,Ahdaf Soueif,3.81,"6,626","1,007","1,891","2,472","1,564",499,200
Election,Tom Perrotta,3.84,"10,437",877,"2,269","4,825","2,817",434,92
The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft,4.17,"44,775","1,963","19,521","15,951","7,156","1,663",484
The Mouse and His Child,Russell Hoban,3.94,"2,438",280,966,716,494,167,95
خصائص التصور الإسلامي ومقوماته,Sayed Qutb,4.20,401,44,201,125,44,18,13
Last and First Men,Olaf Stapledon,3.79,"5,658",496,"1,753","1,833","1,389",473,210
The Prophet's Methods of Correcting People's Mistakes,محمد صالح المنجد,4.08,248,41,107,80,44,9,8
Interesting Times: The Play,Stephen Briggs,4.21,"24,413",179,"10,933","8,447","4,291",621,121
When We Were Very Young,A.A. Milne,4.25,"24,911",762,"12,829","6,970","3,920",882,310
"Naruto, Vol. 02: The Worst Client",Masashi Kishimoto,4.45,"26,564",609,"16,763","5,995","3,028",558,220
The Beloved Scoundrel,Iris Johansen,3.84,"1,821",71,563,595,510,123,30
The Stories of Vladimir Nabokov,Vladimir Nabokov,4.29,"7,209",309,"3,612","2,409",954,170,64
The Richest Man in Babylon,Suze Orman,4.26,"171,676","9,485","88,135","50,455","24,276","6,399","2,411"
Five Go to Mystery Moor,Enid Blyton,4.00,"9,458",173,"3,298","3,378","2,366",345,71
Three Guineas,Jane Marcus,3.92,"4,267",339,"1,362","1,552","1,053",237,63
Notes of a Dirty Old Man,Charles Bukowski,3.94,"22,905",673,"7,178","9,012","5,194","1,130",391
Women Who Run With the Wolves,Clarissa Pinkola Estés,4.13,"65,596","4,957","32,749","17,312","9,279","3,841","2,415"
The Female Man,Joanna Russ,3.48,"6,996",879,"1,516","2,142","1,984",907,447
Gandhi: An Autobiography,Mahatma Gandhi,4.10,"66,759","2,327","29,711","20,808","11,251","3,098","1,891"
Night Soldiers,Alan Furst,3.93,"11,240",913,"3,606","4,549","2,142",623,320
Omeros,Derek Walcott,4.00,"2,770",288,"1,136",860,492,214,68
The Negotiator,Dee Henderson,4.32,"28,157","1,102","15,215","8,216","3,620",763,343
Necroscope,Brian Lumley,4.01,"20,282",869,"8,104","6,493","4,039","1,119",527
سمفونی مردگان,عباس معروفی,4.20,"16,081","1,669","7,601","5,313","2,251",599,317
Sunwing,Kenneth Oppel,4.02,"9,239",194,"3,164","3,602","2,033",347,93
Affliction,Russell Banks,3.99,"3,576",264,"1,086","1,588",734,129,39
A Midnight Clear,William Wharton,4.16,"1,781",89,715,719,284,48,15
The Palm at the End of the Mind: Selected Poems and a Play,Wallace Stevens,4.33,"2,203",69,"1,229",608,260,76,30
The House of Sleep,Jonathan Coe,3.95,"11,110",676,"3,489","4,436","2,424",611,150
Peace,Gene Wolfe,4.09,"2,254",251,944,779,381,99,51
Circus of the Damned,Laurell K. Hamilton,4.17,"92,394","1,768","40,445","31,620","16,472","2,884",973
What Katy Did,Susan Coolidge,3.89,"19,283",644,"6,338","6,503","4,876","1,173",393
Rhapsody: Child of Blood,Elizabeth Haydon,3.97,"19,484",618,"7,436","6,370","3,868","1,233",577
The Evolution Deceit: The Scientific Collapse of Darwinism and its Ideological Background,Harun Yahya,3.59,516,84,165,161,80,33,77
Mossflower,Brian Jacques,4.11,"67,246","1,075","26,743","24,898","12,856","2,025",724
Glory in Death,J.D. Robb,4.27,"60,648","2,904","28,057","22,452","8,856","1,021",262
Five Go Off in a Caravan,Enid Blyton,4.02,"13,266",361,"4,749","4,704","3,214",517,82
Silverwing,Kenneth Oppel,4.07,"13,939",645,"5,224","5,313","2,718",502,182
Heat and Dust,Ruth Prawer Jhabvala,3.55,"7,836",469,"1,478","2,829","2,382",787,360
The Natural,Bernard Malamud,3.62,"11,120",918,"2,329","4,099","3,252","1,065",375
Brave New World / Brave New World Revisited,Aldous Huxley,4.16,"158,562","1,844","68,409","56,928","25,822","5,553","1,850"
Minoes,Annie M.G. Schmidt,4.02,"3,587",356,"1,187","1,459",803,109,29
The Goal: A Process of Ongoing Improvement,Eliyahu M. Goldratt,4.08,"69,475","2,796","29,426","23,135","11,572","3,415","1,927"
The Girl Who Loved Tom Gordon,Stephen King,3.62,"151,160","6,501","36,186","47,379","46,798","15,908","4,889"
The Collected Stories of Isaac Bashevis Singer,Isaac Bashevis Singer,4.38,"2,025",130,"1,085",682,209,35,14
Jesus’ Son,Denis Johnson,4.13,"34,285","2,755","14,864","11,738","5,468","1,624",591
The Open Society and Its Enemies - Volume One: The Spell of Plato,Karl Popper,4.15,"2,635",174,"1,190",909,357,112,67
C is for Corpse,Sue Grafton,3.92,"49,619","1,585","13,762","20,317","13,693","1,444",403
A Wind in the Door,Madeleine L'Engle,4.00,"124,336","4,049","44,917","45,260","25,648","5,967","2,544"
The Dream Songs,John Berryman,4.19,"6,645",185,"3,302","1,895","1,001",317,130
The Soft Machine,William S. Burroughs,3.43,"6,247",362,"1,136","1,939","2,017",771,384
The Angel of Darkness,Caleb Carr,3.99,"28,646","1,631","9,108","11,872","6,176","1,174",316
Mulata,Miguel Ángel Asturias,3.73,232,32,80,61,55,21,15
The Abhorsen Trilogy Box Set,Garth Nix,4.54,"8,429",214,"5,598","2,039",618,107,67
Darwin's Dangerous Idea: Evolution and the Meanings of Life,Daniel C. Dennett,4.06,"16,049",330,"6,828","5,044","2,933",834,410
Protector,Larry Niven,4.07,"9,942",276,"3,555","3,921","2,118",301,47
The Magic Lantern,Ingmar Bergman,4.09,"2,939",231,"1,050","1,238",525,103,23
Postcards,Annie Proulx,3.76,"5,585",423,"1,316","2,219","1,574",350,126
Desert Flower,Waris Dirie,4.18,"30,581","1,659","13,531","10,993","4,565","1,070",422
Open Veins of Latin America: Five Centuries of the Pillage of a Continent,Eduardo Galeano,4.30,"20,360","1,654","10,412","6,655","2,525",556,212
"Shogun, Part 1",James Clavell,4.56,"8,764",269,"5,828","2,190",589,122,35
High Couch of Silistra,Janet E. Morris,3.58,411,61,157,66,88,58,42
The White Castle,Orhan Pamuk,3.48,"14,083","1,159","2,408","4,656","4,823","1,701",495
The Moon and the Bonfires,Cesare Pavese,3.78,"12,852",730,"3,434","4,732","3,362","1,022",302
La Mort est mon métier,Robert Merle,4.35,"5,868",430,"3,019","2,062",657,97,33
Pawn in Frankincense,Dorothy Dunnett,4.61,"3,784",243,"2,743",718,250,50,23
Şeker Portakalı,José Mauro de Vasconcelos,4.40,"57,546","6,752","33,114","16,615","5,874","1,394",549
The Fixer,Bernard Malamud,3.97,"10,846",701,"3,682","4,239","2,151",504,270
Quicksand,Nella Larsen,3.72,"6,397",616,"1,477","2,394","1,920",466,140
The Black Prince,Iris Murdoch,3.94,"5,456",520,"1,751","2,161","1,122",321,101
Ramona the Brave,Beverly Cleary,4.12,"56,357",958,"24,228","18,415","10,745","1,965","1,004"
Miracles of The Qur'an,Harun Yahya,4.20,332,25,171,94,46,4,17
Capitalism and Freedom,Milton Friedman,3.92,"12,837",817,"4,654","4,393","2,428",797,565
Death du Jour,Kathy Reichs,3.96,"45,469","1,664","13,454","19,326","10,591","1,572",526
The Horse's Mouth,Joyce Cary,3.98,"1,448",170,548,494,274,86,46
Witness,Whittaker Chambers,4.37,"2,085",283,"1,210",551,239,63,22
The General of the Dead Army,Ismail Kadare,4.03,"3,715",288,"1,325","1,425",760,170,35
Raintree County,Ross Lockridge Jr.,3.95,"1,031",91,396,313,228,64,30
Marabou Stork Nightmares,Irvine Welsh,3.90,"11,469",451,"3,584","4,223","2,767",720,175
Necronomicon: The Best Weird Tales,H.P. Lovecraft,4.20,"16,390",942,"7,685","5,371","2,499",603,232
The Place of the Lion,Charles  Williams,3.85,"1,335",189,401,474,346,92,22
الإسلام بين الشرق والغرب,Alija Izetbegović,4.47,"10,982","1,991","6,984","2,707",909,239,143
God Arises: Evidence of God in Nature and in Science,Wahiduddin Khan,3.96,546,93,201,195,96,35,19
Martin Dressler: The Tale of an American Dreamer,Steven Millhauser,3.56,"9,845",629,"1,956","3,356","3,122","1,092",319
Brief einer Unbekannten,Stefan Zweig,4.12,"40,090","4,059","16,764","14,245","6,847","1,663",571
The End of Alice,A.M. Homes,3.54,"8,487","1,109","1,883","2,899","2,188",970,547
Picnic at Hanging Rock,Joan Lindsay,3.68,"21,201","2,423","4,451","8,149","6,336","1,827",438
Leviathan,Paul Auster,3.96,"17,519",892,"5,096","7,710","3,851",717,145
The Collected Poems,Sylvia Plath,4.22,"42,076",706,"20,536","13,278","5,932","1,472",858
თეთრი ბაირაღები,Nodar Dumbadze,4.44,669,19,407,182,57,14,9
Pippi in the South Seas,Astrid Lindgren,4.11,"17,919",344,"7,701","5,720","3,603",646,249
The Teachings of Don Juan: A Yaqui Way of Knowledge,Carlos Castaneda,3.94,"41,258","1,345","14,775","13,861","8,989","2,545","1,088"
The Swiss Family Robinson,Johann David Wyss,3.91,"103,342","2,825","35,229","34,597","25,115","6,238","2,163"
Only the Paranoid Survive. Lessons from the CEO of INTEL Corporation,Andrew S. Grove,3.97,"8,603",395,"3,112","3,051","1,733",466,241
Time's Arrow Or The Nature Of The Offence,Martin Amis,3.76,"14,950","1,279","3,895","5,554","3,954","1,179",368
Human Development as Described in the Qur'an and Sunnah: Correlation with Modern Embryology,Abdul-Majeed Zindani,4.16,19,0,13,1,2,1,2
Objects in Mirror Are Closer Than They Appear,Katharine Weber,3.22,221,30,23,57,96,36,9
Beowulf,Unknown,3.47,"285,653","8,549","62,751","80,962","86,664","37,447","17,829"
بداية ونهاية,Naguib Mahfouz,4.08,"7,093",674,"2,667","2,817","1,254",251,104
Famous Last Words,Timothy Findley,3.99,"1,756",95,582,689,383,84,18
The Drowned World,J.G. Ballard,3.49,"16,927","1,337","3,036","5,612","5,498","2,100",681
Holding the Man,Timothy Conigrave,4.39,"5,000",506,"2,797","1,517",544,108,34
Tamarind Woman,Anita Rau Badami,3.57,"1,244",103,232,432,425,129,26
The Outsider,Richard Wright,4.17,"2,255",127,992,795,360,81,27
But Not the Hippopotamus,Sandra Boynton,4.24,"14,128",402,"7,197","3,990","2,229",498,214
"Beloved Prophet: The Love Letters of Kahlil Gibran and Mary Haskell, and Her Private Journal",Mary Elizabeth Haskell,3.72,"3,745",539,"1,090","1,145","1,016",346,148
დათა თუთაშხია,Chabua Amirejibi,4.57,960,41,698,159,70,16,17
Jimmy Corrigan: The Smartest Kid on Earth,Chris Ware,4.09,"23,446","1,493","10,927","6,679","3,575","1,461",804
"He, She and It",Marge Piercy,3.98,"5,517",464,"2,032","1,956","1,076",316,137
The Timeless Way of Building,Christopher W. Alexander,4.36,"2,227",171,"1,243",653,242,58,31
"Anastasia: The Last Grand Duchess, Russia, 1914",Carolyn Meyer,3.92,"9,589",467,"2,976","3,472","2,628",441,72
"Between Silk and Cyanide: A Codemaker's War, 1941-1945",Leo Marks,4.23,"2,437",281,"1,167",833,310,88,39
Religion and the Rebel,Colin Wilson,4.12,220,15,89,83,37,8,3
The Well of Loneliness,Radclyffe Hall,3.72,"15,297","1,179","4,210","5,017","4,178","1,396",496
The Consolations of Philosophy,Alain de Botton,4.01,"28,566","2,807","9,440","11,888","5,730","1,170",338
The Mysteries of Pittsburgh,Michael Chabon,3.64,"26,862","1,980","5,109","10,296","8,680","2,284",493
The Man from St. Petersburg,Ken Follett,3.92,"29,094","1,388","8,010","12,472","7,128","1,203",281
Lord Edgware Dies,Agatha Christie,3.94,"43,816","2,735","11,717","19,406","11,191","1,266",236
"Men Are from Mars, Women Are from Venus",John  Gray,3.58,"183,569","7,081","48,238","53,131","50,532","20,222","11,446"
Streets of Laredo,Larry McMurtry,4.02,"16,847",891,"5,441","7,195","3,503",569,139
Sexus,Henry Miller,4.01,"9,171",408,"3,400","3,323","1,778",501,169
Eden Close,Anita Shreve,3.67,"10,420",597,"1,992","4,061","3,475",757,135
Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,Dava Sobel,3.97,"67,881","3,235","22,506","26,912","13,885","3,049","1,529"
A Brief Illustrated Guide to Understanding Islam,I.A. Ibrahim,3.90,709,87,331,137,122,78,41
La 25e heure,Constantin Virgil Gheorghiu,4.46,"7,225","1,491","4,385","2,046",604,121,69
In a Dark Wood Wandering: A Novel of the Middle Ages,Hella S. Haasse,4.09,"2,248",232,883,843,394,87,41
"Tarzan of the Apes, Three Complete Novels: Tarzan of the Apes / The Son of Tarzan / Tarzan at the Earth's Core",Edgar Rice Burroughs,3.98,177,8,58,70,38,10,1
Lincoln's Dreams,Connie Willis,3.51,"4,184",385,762,"1,359","1,427",527,109
The Easter Parade,Richard Yates,4.03,"8,990",865,"2,953","3,890","1,706",349,92
Το λάθος,Antonis Samarakis,4.31,"3,141",193,"1,556","1,113",387,70,15
Half Asleep in Frog Pajamas,Tom Robbins,3.76,"22,044",802,"5,350","8,381","6,287","1,620",406
The Barrytown Trilogy: The Commitments / The Snapper / The Van,Roddy Doyle,4.29,"3,148",171,"1,444","1,257",379,50,18
Arrows of the Queen,Mercedes Lackey,4.13,"36,828","1,259","16,010","12,328","6,500","1,408",582
Along Came a Spider,James Patterson,4.12,"441,406","6,182","181,904","159,679","78,553","14,825","6,445"
The Children of Noisy Village,Ilon Wikland,4.31,"12,485",501,"6,572","3,727","1,778",303,105
Man Plus,Frederik Pohl,3.74,"7,927",314,"1,831","3,035","2,380",552,129
The Collected Poems,Langston Hughes,4.35,"17,399",286,"9,315","5,492","2,147",318,127
Greasy Lake & Other Stories,T. Coraghessan Boyle,3.94,"1,206",63,318,548,297,35,8
The Fourth Turning: An American Prophecy - What the Cycles of History Tell Us About America's Next Rendezvous with Destiny,William Strauss,3.90,"5,012",710,"1,659","1,816","1,054",341,142
The Passion According to G.H.,Clarice Lispector,4.13,"9,632","1,229","4,475","2,941","1,488",487,241
Charlie and the Great Glass Elevator,Roald Dahl,3.68,"105,123","3,495","27,048","32,600","33,135","9,812","2,528"
As the Crow Flies,Jeffrey Archer,4.13,"22,598",953,"8,996","8,664","4,052",697,189
Evening Class,Maeve Binchy,4.01,"42,008","1,237","13,884","16,531","9,961","1,378",254
Where Angels Fear to Tread,E.M. Forster,3.60,"15,044","1,164","2,768","5,409","5,296","1,292",279
Burmese Days,George Orwell,3.87,"25,763","1,708","6,365","11,340","6,542","1,271",245
"Pride and Prejudice, Mansfield Park, Persuasion",Jane Austen,4.51,"5,903",98,"3,881","1,378",474,99,71
Tar Baby,Toni Morrison,3.97,"20,212",933,"6,468","7,953","4,652",898,241
The Citadel of the Autarch,Gene Wolfe,4.23,"8,100",354,"3,842","2,681","1,239",262,76
Magician: Apprentice,Raymond E. Feist,4.17,"91,263","2,244","40,459","31,533","14,544","3,414","1,313"
The Scramble for Africa: The White Man's Conquest of the Dark Continent from 1876 to 1912,Thomas Pakenham,4.14,"2,349",172,969,896,372,77,35
Ordeal by Innocence,Agatha Christie,3.83,"24,072","2,026","5,854","9,954","6,866","1,185",213
The Day Lasts More Than a Hundred Years,Chingiz Aitmatov,4.34,"6,340",443,"3,328","2,067",742,152,51
Promise at Dawn,Romain Gary,4.25,"9,472",692,"4,717","3,021","1,259",364,111
Watchers,Dean Koontz,4.18,"159,670","4,678","73,263","51,920","26,785","5,500","2,202"
The Reivers,William Faulkner,3.78,"7,224",502,"1,889","2,754","1,892",502,187
"Opened Ground: Selected Poems, 1966-1996",Seamus Heaney,4.27,"5,611",182,"2,806","1,818",744,176,67
Frindle,Brian Selznick,3.84,"115,017","4,576","38,613","34,894","28,839","9,323","3,348"
Karlsson on the Roof,Astrid Lindgren,4.11,"12,406",192,"5,855","3,399","2,142",742,268
Love Comes Softly,Janette Oke,4.25,"40,658","1,523","20,750","11,711","6,169","1,473",555
Hearts in Atlantis,Stephen King,3.85,"91,467","2,741","27,026","32,587","24,019","6,333","1,502"
The Subterraneans,Jack Kerouac,3.66,"14,845",659,"3,210","5,315","4,726","1,289",305
The President,Miguel Ángel Asturias,3.99,"4,678",417,"1,688","1,704",928,261,97
Nightmares and Dreamscapes,Stephen King,3.95,"79,780","1,675","24,596","30,829","20,472","3,310",573
Arabella,Georgette Heyer,4.09,"18,998","1,725","7,115","7,351","3,775",577,180
Mapp and Lucia,E.F. Benson,4.23,"2,709",245,"1,312",884,386,91,36
"Carry On, Mr. Bowditch",Jean Lee Latham,4.13,"17,640","1,236","7,833","5,693","3,038",705,371
"Bone, Vol. 1: Out from Boneville",Jeff Smith,4.19,"86,025","2,595","43,885","22,634","13,489","3,820","2,197"
Economics in One Lesson: The Shortest & Surest Way to Understand Basic Economics,Henry Hazlitt,4.17,"18,647","1,619","8,844","5,825","2,716",829,433
The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,4.70,"22,855",562,"17,638","3,971",944,162,140
The Blue Sword,Robin McKinley,4.21,"59,634","3,185","29,758","17,333","8,953","2,401","1,189"
Lives of Girls and Women,Alice Munro,3.97,"12,855","1,046","4,307","4,918","2,750",662,218
Mystery and Manners: Occasional Prose,Flannery O'Connor,4.28,"3,506",389,"1,689","1,222",498,82,15
Anna's Book,Barbara Vine,3.92,"4,538",271,"1,522","1,723",862,276,155
Jazz,Toni Morrison,3.87,"28,773","2,038","8,364","10,793","7,481","1,719",416
The Exploits of Sherlock Holmes,Adrian Conan Doyle,4.42,"32,340",142,"19,125","8,962","3,409",536,308
Shards of Honour,Lois McMaster Bujold,4.08,"34,578","2,358","13,253","13,034","6,486","1,381",424
Red Sorghum,Mo Yan,3.79,"7,048",876,"1,893","2,704","1,711",533,207
Hideous Kinky,Esther Freud,3.49,"3,602",288,561,"1,255","1,292",392,102
"Right Ho, Jeeves",P.G. Wodehouse,4.30,"28,016","1,912","13,247","10,707","3,370",470,222
Moominpappa at Sea,Tove Jansson,4.25,"9,048",540,"4,219","3,190","1,366",228,45
An Artist of the Floating World,Kazuo Ishiguro,3.78,"32,557","2,971","6,696","14,351","9,399","1,808",303
Dog Soldiers,Robert  Stone,3.70,"6,670",379,"1,600","2,450","1,826",581,213
Nada,Carmen Laforet,3.85,"22,071","2,006","6,345","8,559","5,151","1,516",500
In the Lake of the Woods,Tim O'Brien,3.76,"21,228","1,692","5,448","8,182","5,337","1,635",626
The Infinite Plan,Isabel Allende,3.76,"12,070",640,"2,927","4,633","3,382",911,217
Suldrun's Garden,Jack Vance,3.93,"5,412",373,"1,932","1,841","1,118",365,156
Under the Volcano,Malcolm Lowry,3.77,"23,843","1,692","7,956","7,130","5,255","2,392","1,110"
Riven Rock,T. Coraghessan Boyle,3.65,"2,783",219,525,"1,080",904,220,54
Emperor Mage,Tamora Pierce,4.28,"62,086","1,061","31,059","20,307","8,421","1,474",825
A Separate Reality,Carlos Castaneda,4.08,"18,000",321,"7,305","6,248","3,329",775,343
Lanark,Alasdair Gray,4.10,"6,236",555,"2,729","2,065",909,388,145
The Nazi Officer's Wife: How One Jewish Woman Survived the Holocaust,Edith Hahn Beer,4.15,"45,778","3,089","18,794","18,232","6,627","1,294",831
The Witches of Karres,James H. Schmitz,4.16,"2,664",188,"1,212",863,438,116,35
The Place of Dead Roads,William S. Burroughs,3.90,"2,447",149,770,902,577,149,49
If There Be Thorns,V.C. Andrews,3.77,"47,566","1,394","13,973","14,615","14,061","3,983",934
Auntie Mame: An Irreverent Escapade,Patrick Dennis,4.05,"13,166","1,443","4,725","5,198","2,607",510,126
The Realms of the Gods,Tamora Pierce,4.31,"55,062","1,144","28,976","16,521","7,832","1,382",351
Nectar in a Sieve,Kamala Markandaya,3.67,"9,871",985,"2,283","3,616","2,775",873,324
Little Town at the Crossroads,Maria D. Wilkes,4.07,"7,348",58,"3,297","1,962","1,597",326,166
Little Bear,Else Holmelund Minarik,4.24,"57,570",596,"29,849","15,397","9,623","1,937",764
People of the Wolf,W. Michael Gear,3.90,"9,536",327,"3,328","2,968","2,389",632,219
The Winter King,Bernard Cornwell,4.26,"44,283","2,246","21,036","15,926","5,768","1,107",446
The Reptile Room,Lemony Snicket,4.00,"212,684","8,199","72,787","81,099","47,718","8,745","2,335"
Better Homes and Gardens New Cook Book,Better Homes and Gardens,4.13,"131,961",583,"63,302","37,045","21,694","5,958","3,962"
Metamorphosis and Other Stories,Franz Kafka,3.91,"5,179",469,"1,546","2,037","1,222",308,66
The Nonexistent Knight & The Cloven Viscount,Italo Calvino,4.03,"5,110",225,"1,675","2,162","1,079",162,32
Eaters of the Dead,Michael Crichton,3.69,"39,421","1,984","9,022","14,208","11,896","3,410",885
Lancelot,Walker Percy,3.72,"2,820",213,654,"1,083",791,219,73
Black Sheep,Georgette Heyer,4.08,"11,365",958,"4,144","4,483","2,313",346,79
Year of the Death of Ricardo Reis / The Gospel According to Jesus Christ / Blindness [3 Books in One],José Saramago,4.21,101,5,49,30,16,6,0
The Riddle-Master of Hed,Patricia A. McKillip,4.00,"12,257",593,"4,726","4,020","2,538",702,271
Horse Heaven,Jane Smiley,3.89,"5,222",403,"1,717","1,829","1,197",319,160
"Tomorrow, When the War Began",John Marsden,4.04,"53,623","3,330","20,284","19,917","9,799","2,587","1,036"
From Russia With Love,Ian Fleming,3.90,"34,053","1,501","9,997","13,422","8,407","1,644",583
A Maze of Death,Philip K. Dick,3.80,"8,030",649,"1,790","3,400","2,358",431,51
Born Free: A Lioness of Two Worlds,Joy Adamson,4.16,"33,038",371,"14,668","11,028","5,872",997,473
The Roman Spring of Mrs. Stone,Tennessee Williams,3.66,"1,433",127,274,563,449,130,17
Altazor / Temblor del cielo,Vicente Huidobro,4.28,966,65,517,275,120,40,14
The White Goddess: A Historical Grammar of Poetic Myth,Robert Graves,4.03,"3,469",221,"1,360","1,168",689,184,68
Rose Madder,Stephen King,3.74,"107,432","3,431","30,224","33,574","31,247","9,840","2,547"
Psycho,Robert Bloch,4.12,"62,539","3,418","25,103","23,263","11,425","2,062",686
April Fool's Day,Bryce Courtenay,4.20,"8,266",371,"3,781","2,851","1,245",276,113
Coming Home,Rosamunde Pilcher,4.34,"20,807","1,357","10,962","6,655","2,643",401,146
Brida,Paulo Coelho,3.50,"75,901","3,865","17,257","21,186","23,399","10,138","3,921"
The Country Girls Trilogy and Epilogue,Edna O'Brien,3.89,"3,100",320,913,"1,221",720,197,49
Mao II,Don DeLillo,3.68,"11,232",728,"2,245","4,514","3,348",905,220
Star Maker,Olaf Stapledon,3.92,"7,427",702,"2,794","2,254","1,577",587,215
Baghdad Without a Map and Other Misadventures in Arabia,Tony Horwitz,3.99,"3,964",220,"1,355","1,507",865,173,64
Birthday Letters,Ted Hughes,3.91,"9,572",476,"3,222","3,364","2,121",613,252
Possessing the Secret of Joy,Alice Walker,4.08,"15,040",707,"5,792","5,639","2,879",553,177
The Counterlife,Philip Roth,3.91,"4,865",374,"1,568","1,795","1,105",299,98
The Missing Piece Meets the Big O,Shel Silverstein,4.36,"13,223",669,"7,561","3,430","1,778",360,94
Goodbye to Berlin,Christopher Isherwood,3.93,"13,516","1,098","3,604","6,106","3,206",511,89
Through a Glass Darkly,Karleen Koen,3.97,"10,814",871,"3,926","3,772","2,219",642,255
Cities of Salt,Abdul Rahman Munif,4.06,"4,230",663,"1,680","1,486",798,181,85
Legend,David Gemmell,4.27,"30,344","1,526","15,048","9,810","4,261",942,283
Curious George,H.A. Rey,4.16,"134,039","1,327","66,181","34,456","24,800","6,026","2,576"
Living with Joy: Keys to Personal Power and Spiritual Transformation,Sanaya Roman,4.44,"1,487",63,924,357,157,31,18
The Last Convertible,Anton Myrer,4.23,"2,000",164,922,699,307,64,8
It's a Magical World,Bill Watterson,4.73,"27,765",411,"22,044","4,326","1,090",159,146
